UNIQUE_ID   |   DATE        |   TARGETS         |   TEST SCRIPT     |   URLS                    |   OTHER NOTES
------------------------------------------------------------------------------------------------------------
HGWhwxQ6    |   10-17-24    |   All_Targets     |   phish-test.py   |   10 latest phishtank     |   Pre-fix for FPs, 10 latest versions
JwIZY1fx    |   10-24-24    |   All_Targets     |   phish-test.py   |   10 latest phishtank     |   Pre-fix for FPs, 10 latest versions
6rVphbHX    |   10-24-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   10 latest versions
pOKUgP2N    |   10-25-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   10 latest versions 
xhYQi9NJ    |   10-30-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping
rJJdSLUJ    |   11-07-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022) - incorrect
iHRIMXqv    |   11-07-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022) - incorrect
8BIwchFv    |   11-07-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022) - incorrect
O2M8irR0    |   11-07-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022) - incorrect
YWkkHPgU    |   11-10-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
1uAdSmiL    |   11-10-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
Lx1iBz0s    |   11-11-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
lQqblPgs    |   11-12-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
HtWS2rps    |   11-12-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
ItjDdasT    |   11-14-24    |   All_Targets     |   visit-only.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
WVGMx5Y2    |   11-17-24    |   All_Targets     |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
UB70Lvvd    |   11-18-24    |   All_Targets     |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
6RXagsDZ    |   12-02-24    |   All_Targets     |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
VBlGVVF8    |   12-02-24    |   Android         |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
vr3No8Pv    |   12-03-24    |   Android         |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
zbSbjZVH    |   12-03-24    |   iOS             |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
yeH04IHk    |   12-03-24    |   iOS             |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
wLBpgJNn    |   12-03-24    |   Android         |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
Ahr2slMU    |   12-04-24    |   iOS             |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
oNXmQznS    |   12-04-24    |   Android         |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
LVD83eZN    |   12-04-24    |   iOS             |   phish-test.py   |   10 latest phishtank     |   CVE-based version scoping, by year (2022)
